t,40g_3W_free_step,actual_vid_time
0,27.4,4
1,27,
2,26.45,
3,26.1,
4,25.75,
5,25.5,
6,25.3,10
7,25.1,
8,24.8,
9,24.55,
10,24.5,
11,24.45,15
12,24.4,
13,24.4,
14,24.4,
15,24.45,
16,24.55,20
17,24.6,
18,24.6,
19,24.65,
20,24.65,
21,24.65,25
22,24.6,
23,24.45,
24,24.35,
25,24.3,
26,24.3,
27,24.3,
28,24.35,
29,24.35,
30,24.35,
31,25.35,35
32,26,
33,26.3,
34,26.6,
35,26.8,
36,27,40
37,27.2,
38,27.3,
39,27.4,
40,27.45,
41,27.45,45
42,27.5,
43,27.5,
44,27.55,
45,27.6,
46,27.6,50
47,27.62,
48,27.64,
49,27.65,
50,27.66,
51,27.66,55
52,27.67,
53,27.67,
54,27.68,
55,27.68,
56,27.68,60
57,27.7,
58,27.7,
59,27.7,
60,27.7,